station,correction,approach,SW,LW,RMSE,MAE,mean,median,count
onsa13sw,local_bc,GNSS,1,1,1.5372805851560685,1.1333372511134425,-3.54440647612209e-17,0.0527603646396106,6415
onsa13sw,local_bc,DTEC,1,100,1.5035012135197972,1.1234095244143543,1.107627023788153e-17,0.0471238329409056,6415
onsa13sw,local_bc,Fusion,1,1000,1.4469059482456497,1.057983645879746,3.101355666606828e-17,0.0308947906441863,6415
wettz13s,raw,GNSS,1,1,2.799527517692192,2.2803688585036532,2.1064618034529943,1.9297766795377567,2444
wettz13s,raw,DTEC,1,100,2.8031771715235165,2.282397172740778,2.0971948230094233,1.9181498385506401,2444
wettz13s,raw,Fusion,1,1000,2.7199435152885574,2.229029129389708,2.030406522357068,1.8948976783705063,2444
wettz13s,global_bc,GNSS,1,1,1.9230671127130694,1.499713954750658,0.34477624911160265,0.2832038278342487,2444
wettz13s,global_bc,DTEC,1,100,2.080552832069045,1.6389479265331484,0.6376037948993536,0.614351184343505,2444
wettz13s,global_bc,Fusion,1,1000,1.8196802356007662,1.3983764407363657,-0.08614680139178439,-0.05376226236112485,2444
wettz13s,local_bc,GNSS,1,1,1.4757599033674047,1.0639173685842236,-6.39604753957537e-17,0.0232623493020665,2444
wettz13s,local_bc,DTEC,1,100,1.4883978645036482,1.0605190750861175,-4.6516709378729965e-17,-0.0045899780170938,2444
wettz13s,local_bc,Fusion,1,1000,1.4504779806710102,1.02253484772066,-1.7443766017023736e-17,-0.00875693002604315,2444
raegyeb,raw,GNSS,1,1,3.580930090943026,3.0400506211402862,2.918261273306524,2.9720610054916463,4867
raegyeb,raw,DTEC,1,100,3.5777465018445476,3.0310596244135843,2.9229516426768174,2.9736681782029457,4867
raegyeb,raw,Fusion,1,1000,3.538954962112166,3.015883002633867,2.88106802689265,2.89996894844008,4867
